DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL,VENTAS_AM,VENTAS_PM,VENTAS_TOTALES
DOMINGO,17/04/2022,0,123,123,0,0,0
LUNES,18/04/2022,122,25,147,1587,393,1979
MARTES,19/04/2022,123,45,168,1495,930,2426
MIÉRCOLES,20/04/2022,161,28,189,2038,516,2554
JUEVES,21/04/2022,128,59,187,1618,1175,2793
VIERNES,22/04/2022,103,95,198,1351,1992,3343
SÁBADO,23/04/2022,178,143,321,3654,2984,6638
DOMINGO,24/04/2022,115,35,150,2369,609,2978
LUNES,25/04/2022,99,60,159,1324,1263,2587
MARTES,26/04/2022,104,29,133,1290,650,1940
MIÉRCOLES,27/04/2022,113,50,163,1448,967,2415
JUEVES,28/04/2022,90,28,118,1167,597,1764
VIERNES,29/04/2022,118,65,183,1641,1410,3050
SÁBADO,30/04/2022,145,121,266,2832,2429,5261
DOMINGO,1/05/2022,135,59,194,2812,1136,3948
LUNES,2/05/2022,127,10,137,2566,232,2798
MARTES,3/05/2022,116,24,140,1505,468,1973
MIÉRCOLES,4/05/2022,136,9,145,1806,199,2005
JUEVES,5/05/2022,76,23,99,971,406,1376
VIERNES,6/05/2022,97,76,173,1278,1395,2673
SÁBADO,7/05/2022,136,128,264,2636,2390,5026
DOMINGO,8/05/2022,96,19,115,1956,430,2385
LUNES,9/05/2022,111,49,160,1435,1122,2557
MARTES,10/05/2022,85,38,123,1112,825,1937
MIÉRCOLES,11/05/2022,127,41,168,1616,1076,2692
JUEVES,12/05/2022,108,25,133,1353,538,1890
VIERNES,13/05/2022,111,72,183,1419,1497,2916
SÁBADO,14/05/2022,109,89,198,2148,1841,3988
DOMINGO,15/05/2022,140,48,188,2835,915,3750
LUNES,16/05/2022,0,61,61,0,1171,1171
MARTES,17/05/2022,106,21,127,1367,432,1798
MIÉRCOLES,18/05/2022,125,34,159,1658,699,2357
JUEVES,19/05/2022,127,36,163,1722,753,2475
VIERNES,20/05/2022,86,80,166,1356,1577,2933
SÁBADO,21/05/2022,171,145,316,3317,3346,6663
DOMINGO,22/05/2022,0,154,154,0,0,0
LUNES,23/05/2022,77,19,96,976,419,1395
MARTES,24/05/2022,108,72,180,1312,1540,2852
MIÉRCOLES,25/05/2022,178,39,217,2374,818,3192
JUEVES,26/05/2022,100,16,116,1257,317,1574
VIERNES,27/05/2022,85,65,150,1064,1299,2362
SÁBADO,28/05/2022,96,46,142,2029,897,2926
DOMINGO,29/05/2022,98,30,128,2126,540,2666
LUNES,30/05/2022,132,25,157,1677,503,2181
MARTES,31/05/2022,140,85,225,1775,1790,3565
MIÉRCOLES,1/06/2022,102,18,120,1293,0,1293
JUEVES,2/06/2022,101,38,139,1268,0,1268
VIERNES,3/06/2022,77,61,138,1023,0,1023
SÁBADO,4/06/2022,138,135,273,2741,0,2741
DOMINGO,5/06/2022,96,27,123,1967,0,1967
LUNES,6/06/2022,93,48,141,1310,0,1310
MARTES,7/06/2022,108,20,128,1381,0,1381
MIÉRCOLES,8/06/2022,130,53,183,1650,0,1650
JUEVES,9/06/2022,115,40,155,1443,0,1443
VIERNES,10/06/2022,138,83,221,1940,0,1940
SÁBADO,11/06/2022,97,107,204,2004,0,2004
DOMINGO,12/06/2022,97,30,127,1913,0,1913
LUNES,13/06/2022,95,27,122,1254,0,1254
MARTES,14/06/2022,135,52,187,1831,0,1831
MIÉRCOLES,15/06/2022,115,23,138,1484,0,1484
JUEVES,16/06/2022,91,15,106,1146,0,1146
VIERNES,17/06/2022,104,86,190,1414,0,1414
SÁBADO,18/06/2022,102,100,202,2169,0,2169
DOMINGO,19/06/2022,80,34,114,1483,0,1483
LUNES,20/06/2022,90,22,112,1191,0,1191
MARTES,21/06/2022,113,60,173,1546,0,1546
MIÉRCOLES,22/06/2022,111,29,140,1489,0,1489
JUEVES,23/06/2022,101,14,115,1382,0,1382
VIERNES,24/06/2022,107,109,216,1500,0,1500
SÁBADO,25/06/2022,129,123,252,2823,0,2823
DOMINGO,26/06/2022,115,19,134,2223,0,2223
LUNES,27/06/2022,102,40,142,1426,0,1426
MARTES,28/06/2022,66,17,83,815,0,815
MIÉRCOLES,29/06/2022,92,15,107,1414,0,1414
