DÍA,FECHA,CLIENTES_AM,CLIENTES_PM,CLIENTES_TOTAL
SÁBADO,29/10/2022,110,116,226
DOMINGO,30/10/2022,99,24,123
LUNES,31/10/2022,174,128,302
MARTES,1/11/2022,128,36,164
MIÉRCOLES,2/11/2022,98,18,116
JUEVES,3/11/2022,120,88,208
VIERNES,4/11/2022,138,86,224
SÁBADO,5/11/2022,112,115,227
DOMINGO,6/11/2022,101,9,110
LUNES,7/11/2022,104,17,121
MARTES,8/11/2022,0,40,40
MIÉRCOLES,9/11/2022,112,112,224
JUEVES,10/11/2022,111,33,144
VIERNES,11/11/2022,137,106,243
SÁBADO,12/11/2022,122,122,244
DOMINGO,13/11/2022,138,37,175
LUNES,14/11/2022,123,25,148
MARTES,15/11/2022,108,25,133
MIÉRCOLES,16/11/2022,131,41,172
JUEVES,17/11/2022,122,45,167
VIERNES,18/11/2022,135,77,212
SÁBADO,19/11/2022,118,120,238
DOMINGO,20/11/2022,107,21,128
LUNES,21/11/2022,81,20,101
MARTES,22/11/2022,122,122,244
MIÉRCOLES,23/11/2022,112,9,121
JUEVES,24/11/2022,0,46,46
VIERNES,25/11/2022,137,90,227
SÁBADO,26/11/2022,137,77,214
DOMINGO,27/11/2022,112,29,141
LUNES,28/11/2022,111,20,131
MARTES,29/11/2022,121,28,149
MIÉRCOLES,30/11/2022,131,35,166
JUEVES,1/12/2022,130,24,154
VIERNES,2/12/2022,114,21,135
SÁBADO,3/12/2022,56,70,126
DOMINGO,4/12/2022,70,40,110
LUNES,5/12/2022,99,36,135
MARTES,6/12/2022,46,26,72
MIÉRCOLES,7/12/2022,101,19,120
JUEVES,8/12/2022,52,15,67
VIERNES,9/12/2022,122,60,182
SÁBADO,10/12/2022,67,86,153
DOMINGO,11/12/2022,96,28,124
LUNES,12/12/2022,81,8,89
MARTES,13/12/2022,107,10,117
MIÉRCOLES,14/12/2022,150,26,176
JUEVES,15/12/2022,98,36,134
VIERNES,16/12/2022,124,67,191
SÁBADO,17/12/2022,104,116,220
DOMINGO,18/12/2022,69,26,95
LUNES,19/12/2022,138,33,171
MARTES,20/12/2022,127,22,149
MIÉRCOLES,21/12/2022,130,21,151
JUEVES,22/12/2022,108,49,157
VIERNES,23/12/2022,106,56,162
SÁBADO,24/12/2022,64,53,117
DOMINGO,25/12/2022,21,0,21
LUNES,26/12/2022,103,41,144
MARTES,27/12/2022,158,25,183
MIÉRCOLES,28/12/2022,144,36,180
JUEVES,29/12/2022,135,40,175
VIERNES,30/12/2022,147,74,221
SÁBADO,31/12/2022,67,0,67
DOMINGO,1/01/2023,25,0,25
LUNES,2/01/2023,104,40,144
MARTES,3/01/2023,150,50,200
MIÉRCOLES,4/01/2023,179,56,235
JUEVES,5/01/2023,129,71,200
VIERNES,6/01/2023,111,62,173
SÁBADO,7/01/2023,106,86,192
DOMINGO,8/01/2023,92,8,100
LUNES,9/01/2023,131,23,154
MARTES,10/01/2023,118,22,140
